Observation,Q_Values
"[0.013, -0.792, 0.101, 1.237]","[17.70530709267277, 8.50051738971133]"
"[-0.003, -0.599, 0.125, 0.977]","[9.212671048602521, 15.948945438547613]"
"[-0.015, -0.795, 0.145, 1.307]","[14.411854020786807, 12.271837964635917]"
"[-0.031, -0.992, 0.171, 1.641]","[20.27038463719137, 24.47329179789751]"
"[-0.051, -0.799, 0.204, 1.406]","[19.05811046086039, 21.86828054825592]"
"[0.022, -0.027, -0.008, 0.01]","[10.951975208704006, 24.40460629752834]"
"[0.022, -0.222, -0.008, 0.3]","[15.10122013513417, 15.770365844090255]"
"[0.017, -0.417, -0.002, 0.59]","[18.983772563814828, 19.287721162369586]"
"[0.009, -0.222, 0.01, 0.297]","[24.579768109544062, 19.8736850589256]"
"[0.005, -0.417, 0.016, 0.593]","[9.423493528954534, 20.626386595804565]"
"[-0.004, -0.612, 0.028, 0.89]","[24.909998074939846, 14.50831882019318]"
"[-0.016, -0.417, 0.045, 0.606]","[13.653383450898254, 23.255637509096125]"
"[-0.024, -0.223, 0.058, 0.328]","[7.319184265105179, 23.410760754752715]"
"[-0.029, -0.419, 0.064, 0.639]","[13.970584899204185, 14.582790891622357]"
"[-0.037, -0.225, 0.077, 0.367]","[15.884117623204377, 21.347217223034235]"
"[-0.042, -0.421, 0.084, 0.683]","[19.988820195952833, 14.398513497244348]"
"[-0.05, -0.617, 0.098, 1.001]","[5.129780985397625, 11.896193099740984]"
"[-0.063, -0.813, 0.118, 1.323]","[16.13776301478763, 19.95126027625352]"
"[-0.079, -1.01, 0.144, 1.65]","[10.45510446899474, 11.458617998683096]"
"[-0.099, -0.816, 0.177, 1.405]","[7.836830643475345, 20.7221365746745]"
"[-0.115, -1.013, 0.206, 1.748]","[23.285423168426757, 9.533416556008342]"
"[-0.034, -0.023, 0.027, -0.029]","[16.24114803158449, 5.904191050409501]"
"[-0.034, -0.218, 0.026, 0.272]","[16.200571357848617, 13.849300974477144]"
"[-0.038, -0.414, 0.032, 0.573]","[16.520374323605267, 10.518735082394095]"
"[-0.047, -0.219, 0.043, 0.29]","[20.511593060399132, 22.253018623226893]"
"[-0.051, -0.415, 0.049, 0.596]","[10.996551804478438, 11.136960980219406]"
"[-0.059, -0.22, 0.061, 0.32]","[23.853308131032414, 15.020420728742481]"
"[-0.064, -0.026, 0.067, 0.047]","[6.347250321578233, 12.069284477941364]"
"[-0.064, 0.168, 0.068, -0.224]","[18.05001684726512, 6.505387886399465]"
"[-0.061, 0.362, 0.064, -0.494]","[6.530838855298388, 23.893577089497953]"
"[-0.054, 0.166, 0.054, -0.182]","[22.962768120702247, 24.84685819757936]"
"[-0.05, 0.36, 0.05, -0.457]","[5.235803293640371, 9.672129558687171]"
"[-0.043, 0.164, 0.041, -0.149]","[10.953393103353466, 21.16937812133464]"
"[-0.04, -0.031, 0.038, 0.156]","[5.941516061860945, 10.975788783341525]"
"[-0.041, -0.227, 0.041, 0.461]","[10.292938217648738, 17.080457995476596]"
"[-0.045, -0.423, 0.051, 0.766]","[17.624745744816796, 21.91748200569929]"
"[-0.054, -0.618, 0.066, 1.075]","[18.522632696196876, 24.827152967264766]"
"[-0.066, -0.424, 0.087, 0.803]","[19.114053241941768, 5.020607000134991]"
"[-0.074, -0.23, 0.104, 0.539]","[7.274291358000404, 9.479534569048019]"
"[-0.079, -0.427, 0.114, 0.863]","[12.682592780894748, 11.81519316494229]"
"[-0.088, -0.233, 0.132, 0.608]","[24.768336123073027, 16.358137378549277]"
"[-0.092, -0.04, 0.144, 0.36]","[7.704241890109181, 10.874182396619503]"
"[-0.093, -0.237, 0.151, 0.694]","[7.046563006935016, 20.285885439543136]"
"[-0.098, -0.434, 0.165, 1.03]","[23.53202429783947, 20.345766385707712]"
"[-0.106, -0.241, 0.185, 0.793]","[10.008607605765192, 11.741690103990843]"
"[-0.111, -0.439, 0.201, 1.138]","[13.288253592135854, 21.58257741046029]"
"[0.006, 0.013, 0.028, -0.022]","[11.150084028284617, 18.68252865179231]"
"[0.006, -0.183, 0.028, 0.28]","[16.60482637609463, 12.860127323710941]"
"[0.003, 0.012, 0.033, -0.004]","[9.100356703501236, 20.849829044961954]"
"[0.003, -0.184, 0.033, 0.299]","[10.576903537625654, 14.455410018890646]"
"[-0.001, 0.011, 0.039, 0.017]","[19.99073107885036, 15.019483605109267]"
"[-0.001, 0.206, 0.039, -0.263]","[10.080600005408392, 22.713606517051595]"
"[0.004, 0.01, 0.034, 0.042]","[13.699219313225155, 23.396677543537574]"
"[0.004, -0.186, 0.035, 0.345]","[13.573412792469748, 24.644909060119318]"
"[0.0, 0.009, 0.042, 0.063]","[18.720978709919425, 12.033703660161992]"
"[0.0, -0.187, 0.043, 0.369]","[21.924982342033594, 22.674603088091022]"
"[-0.004, 0.008, 0.051, 0.09]","[7.424854383019348, 22.45789981388559]"
"[-0.003, -0.188, 0.052, 0.398]","[21.449824440607493, 7.1271194237268425]"
"[-0.007, 0.006, 0.06, 0.123]","[18.752599146104536, 11.114081355083103]"
"[-0.007, 0.201, 0.063, -0.15]","[12.410565147294184, 14.76383831544906]"
"[-0.003, 0.005, 0.06, 0.162]","[9.4376246243238, 5.213769410734075]"
"[-0.003, 0.199, 0.063, -0.112]","[11.355283756256389, 19.58258428664761]"
"[0.001, 0.393, 0.061, -0.384]","[20.74106226702788, 11.369714446416294]"
"[0.009, 0.197, 0.053, -0.073]","[8.034138413360115, 23.682721777391208]"
"[0.013, 0.391, 0.052, -0.348]","[13.161821880494148, 18.97147172648496]"
"[0.021, 0.586, 0.045, -0.624]","[9.31495699300731, 19.978181454559333]"
"[0.032, 0.78, 0.032, -0.902]","[9.844515059236041, 8.621322192078583]"
"[0.048, 0.975, 0.014, -1.185]","[7.978785222323701, 18.031038275491692]"
"[0.068, 0.78, -0.01, -0.888]","[10.654608276172691, 8.229930013207117]"
"[0.083, 0.585, -0.027, -0.598]","[22.8915332715888, 11.730771765609019]"
"[0.095, 0.39, -0.039, -0.314]","[7.443194399945964, 12.828447463715289]"
"[0.103, 0.585, -0.046, -0.619]","[23.010324153066936, 14.203895568063418]"
"[0.114, 0.781, -0.058, -0.925]","[13.544056721668289, 12.793176518306534]"
"[0.13, 0.977, -0.076, -1.236]","[16.45783289379881, 10.47477217156903]"
"[0.149, 1.173, -0.101, -1.551]","[15.811546002828072, 7.205587919791299]"
"[0.173, 1.369, -0.132, -1.874]","[21.95018867759657, 7.350742708228292]"
"[0.2, 1.176, -0.17, -1.625]","[10.619303396526812, 19.3060458118309]"
"[0.224, 1.372, -0.202, -1.965]","[11.470999475050617, 21.04875784165392]"
"[0.037, -0.0, -0.001, 0.038]","[23.790016505084957, 23.63839069173666]"
"[0.037, 0.195, -0.001, -0.255]","[8.62922731875279, 9.281326384267125]"
"[0.041, -0.0, -0.006, 0.037]","[14.251362008400463, 8.12923553625841]"
"[0.041, -0.195, -0.005, 0.328]","[20.683373296920255, 20.492023171839527]"
"[0.037, -0.0, 0.002, 0.034]","[12.543391294026748, 14.870330025837777]"
"[0.037, 0.195, 0.002, -0.258]","[16.94996663362611, 24.81699114788782]"
"[0.041, 0.39, -0.003, -0.55]","[18.883973526354108, 15.759505483676193]"
"[0.049, 0.195, -0.014, -0.258]","[14.443283032426287, 24.556869732518177]"
"[0.053, 0.0, -0.019, 0.03]","[10.74751783214067, 7.560370561304939]"
"[0.053, 0.196, -0.018, -0.269]","[20.534517501677033, 9.288958676491152]"
"[0.057, 0.391, -0.024, -0.567]","[24.096983020096523, 8.557197797852973]"
"[0.065, 0.196, -0.035, -0.282]","[17.4199429078765, 7.609743015366397]"
"[0.069, 0.002, -0.041, -0.001]","[7.380986587388543, 18.80421508934411]"
"[0.069, 0.197, -0.041, -0.306]","[16.52424487515147, 16.2659368466333]"
"[0.073, 0.003, -0.047, -0.026]","[10.345062137540006, 13.680492563004877]"
"[0.073, 0.198, -0.047, -0.333]","[9.605897219518463, 16.330983046130473]"
"[0.077, 0.004, -0.054, -0.056]","[7.999037448485373, 22.818419221181564]"
"[0.077, -0.19, -0.055, 0.219]","[20.898667016294006, 21.260564184161773]"
"[0.073, 0.006, -0.051, -0.09]","[8.496691954038782, 5.575809092437961]"
"[0.073, -0.189, -0.053, 0.186]","[15.290375641584777, 24.449689354080366]"
"[0.069, -0.383, -0.049, 0.462]","[17.093025253372282, 12.866804719436475]"
"[0.062, -0.187, -0.04, 0.154]","[22.403178991551435, 13.964406468979027]"
"[0.058, 0.008, -0.037, -0.151]","[18.884244754515866, 21.127720830831393]"
"[0.058, -0.186, -0.04, 0.13]","[9.30047346147366, 8.202970330127881]"
"[0.054, -0.381, -0.037, 0.41]","[16.476870054122333, 24.417879908483684]"
"[0.047, -0.185, -0.029, 0.106]","[20.469304091942185, 23.695799194102673]"
"[0.043, 0.01, -0.027, -0.196]","[22.43404636451018, 17.261470807952403]"
"[0.043, 0.206, -0.031, -0.497]","[14.252601293286158, 22.76601969393692]"
"[0.047, 0.401, -0.041, -0.799]","[11.716885174032868, 19.911652406524325]"
"[0.055, 0.597, -0.057, -1.104]","[10.534991342065528, 15.636342685942594]"
"[0.067, 0.403, -0.079, -0.83]","[22.277356380810378, 21.58065573998413]"
"[0.075, 0.599, -0.095, -1.146]","[12.717600836016473, 23.919181765660117]"
"[0.087, 0.795, -0.118, -1.467]","[21.956055012961805, 23.18407547742388]"
"[0.103, 0.991, -0.147, -1.794]","[21.113007033795448, 14.313250440014553]"
"[0.123, 0.798, -0.183, -1.551]","[10.211638138539836, 15.173365972529762]"
"[-0.031, 0.008, -0.049, -0.038]","[6.362204227859625, 20.95337938741869]"
"[-0.031, 0.204, -0.05, -0.346]","[10.215032695868388, 24.780986729086003]"
"[-0.027, 0.4, -0.057, -0.654]","[23.712745927691543, 11.405730857971953]"
"[-0.019, 0.595, -0.07, -0.964]","[17.66083419232739, 8.089059497892478]"
"[-0.007, 0.791, -0.089, -1.277]","[9.77300166378376, 10.307253322478731]"
"[0.009, 0.987, -0.114, -1.596]","[5.629299879808068, 18.430250489352773]"
"[0.029, 1.184, -0.146, -1.922]","[19.19208443458829, 7.584403688470687]"
"[0.052, 0.99, -0.185, -1.678]","[23.877063831763692, 16.66578793587328]"
"[-0.044, 0.027, 0.022, -0.045]","[23.146875040732954, 5.5124543583585535]"
"[-0.044, -0.168, 0.021, 0.254]","[8.882437579329155, 18.96698195945002]"
"[-0.047, 0.027, 0.026, -0.032]","[14.442127344893985, 22.43354045669733]"
"[-0.046, -0.169, 0.025, 0.269]","[16.401914515737488, 6.814983766226682]"
"[-0.05, 0.026, 0.031, -0.016]","[6.256550355399327, 5.792681335461831]"
"[-0.049, -0.17, 0.031, 0.287]","[12.75446835472237, 21.98130235560668]"
"[-0.053, -0.365, 0.036, 0.589]","[13.882321728563195, 23.992026754049384]"
"[-0.06, -0.561, 0.048, 0.893]","[21.612957899936426, 12.450827190719911]"
"[-0.071, -0.366, 0.066, 0.615]","[17.37809719946595, 23.462167385676466]"
"[-0.078, -0.172, 0.078, 0.344]","[12.866194851697506, 15.191164664095748]"
"[-0.082, 0.022, 0.085, 0.077]","[15.29290836133212, 21.817578593344535]"
"[-0.081, 0.215, 0.087, -0.187]","[20.963418903399717, 7.491214141182477]"
"[-0.077, 0.019, 0.083, 0.131]","[19.59485190033832, 24.958789760888514]"
"[-0.077, 0.213, 0.085, -0.134]","[10.200224147754513, 11.357131097461728]"
"[-0.073, 0.407, 0.083, -0.399]","[10.455713788653023, 9.712413290025136]"
"[-0.064, 0.601, 0.075, -0.664]","[17.755281395719965, 6.200776279091773]"
"[-0.052, 0.795, 0.062, -0.932]","[21.090809642834515, 13.885456753819645]"
"[-0.036, 0.599, 0.043, -0.621]","[20.977997686008422, 17.47702781990324]"
"[-0.025, 0.793, 0.03, -0.9]","[16.35710908122066, 14.969847999608536]"
"[-0.009, 0.598, 0.012, -0.598]","[19.989777226969142, 11.89636949077228]"
"[0.003, 0.402, 0.001, -0.301]","[23.29654450538347, 19.592911757887926]"
"[0.011, 0.207, -0.006, -0.008]","[18.334635819619905, 18.08164081589692]"
"[0.015, 0.012, -0.006, 0.283]","[16.132873433669133, 18.43966392925832]"
"[0.016, 0.207, -0.0, -0.012]","[23.26917795826286, 10.646883151303177]"
"[0.02, 0.012, -0.0, 0.281]","[9.478872120461856, 24.907952692497183]"
"[0.02, 0.207, 0.005, -0.012]","[12.368242996078134, 7.022874007470426]"
"[0.024, 0.403, 0.005, -0.303]","[19.177340295719606, 11.572927320613598]"
"[0.032, 0.207, -0.001, -0.009]","[16.392560375925992, 24.970902692603588]"
"[0.036, 0.402, -0.001, -0.302]","[10.579837279607505, 7.2351410572841495]"
"[0.045, 0.598, -0.007, -0.595]","[23.377034970834654, 23.06540026578851]"
"[0.056, 0.403, -0.019, -0.304]","[24.351208476804743, 24.7874846932946]"
"[0.065, 0.208, -0.025, -0.018]","[22.8355729208398, 23.578832014709917]"
"[0.069, 0.013, -0.026, 0.267]","[19.960079178842104, 21.643838392558166]"
"[0.069, -0.182, -0.02, 0.551]","[22.97252324974717, 7.279043477593106]"
"[0.065, 0.014, -0.009, 0.252]","[24.20676072045481, 24.513630070318428]"
"[0.066, 0.209, -0.004, -0.043]","[23.16529557640348, 9.750926753009487]"
"[0.07, 0.014, -0.005, 0.248]","[21.848794250010307, 18.61209893542014]"
"[0.07, -0.181, 0.0, 0.539]","[15.725522441582285, 9.537271158250713]"
"[0.066, 0.014, 0.011, 0.247]","[14.425571810862394, 11.052188115889738]"
"[0.067, -0.181, 0.016, 0.543]","[19.938484958975554, 23.12453193956567]"
"[0.063, -0.377, 0.027, 0.84]","[22.33379619529427, 12.949967514859416]"
"[0.056, -0.182, 0.043, 0.556]","[10.360203087619892, 19.595783661540725]"
"[0.052, 0.013, 0.055, 0.277]","[13.725474641820671, 24.34454142113317]"
"[0.052, 0.207, 0.06, 0.002]","[19.56708406509231, 21.244189600717025]"
"[0.056, 0.011, 0.06, 0.313]","[23.777489145948483, 9.84928838206999]"
"[0.057, 0.205, 0.066, 0.04]","[14.702752226478552, 15.16568776704078]"
"[0.061, 0.399, 0.067, -0.231]","[6.534977826308989, 10.960211704912872]"
"[0.069, 0.593, 0.063, -0.501]","[17.77055451880478, 5.857354849349596]"
"[0.08, 0.397, 0.053, -0.19]","[14.619212395316591, 20.724766265896314]"
"[0.088, 0.592, 0.049, -0.465]","[21.40750893202187, 20.72318447457799]"
"[0.1, 0.396, 0.039, -0.158]","[21.45579081329932, 7.680729013093828]"
"[0.108, 0.2, 0.036, 0.147]","[16.79768453338748, 10.116700984191285]"
"[0.112, 0.395, 0.039, -0.134]","[21.444112106593114, 23.785511133290512]"
"[0.12, 0.589, 0.037, -0.414]","[21.3767145210041, 17.135034104598926]"
"[0.132, 0.784, 0.028, -0.695]","[6.202724285606113, 6.838263554254221]"
"[0.148, 0.979, 0.014, -0.978]","[10.42695411844824, 12.405305192310262]"
"[0.167, 1.174, -0.005, -1.267]","[19.38852560121334, 10.427297525606347]"
"[0.191, 0.979, -0.031, -0.976]","[14.162620237582093, 8.27883277447006]"
"[0.21, 0.784, -0.05, -0.693]","[10.034595230663177, 5.531570874486549]"
"[0.226, 0.589, -0.064, -0.416]","[20.36481074722947, 17.08759359234878]"
"[0.238, 0.395, -0.072, -0.144]","[21.692337380582504, 6.449072044055697]"
"[0.246, 0.591, -0.075, -0.459]","[5.5415064067924735, 8.11381330468327]"
"[0.257, 0.787, -0.084, -0.774]","[24.921545716983303, 8.42606519526834]"
"[0.273, 0.984, -0.1, -1.092]","[16.171229931497912, 12.270360508901035]"
"[0.293, 1.18, -0.122, -1.414]","[16.95460745693464, 17.498145384796537]"
"[0.316, 0.987, -0.15, -1.162]","[19.9448850175665, 12.681223054296137]"
"[0.336, 1.183, -0.173, -1.498]","[9.2523658342935, 19.17227403635379]"
"[0.36, 1.38, -0.203, -1.839]","[10.832524741885674, 17.902149661685044]"
"[0.05, -0.038, 0.037, -0.026]","[12.62498667679072, 8.03542241327011]"
"[0.049, -0.234, 0.036, 0.278]","[14.015502650425738, 7.701185489275173]"
"[0.044, -0.039, 0.042, -0.003]","[8.739141045697668, 15.81037598920679]"
"[0.044, -0.235, 0.042, 0.303]","[23.54873991207412, 24.93734494160152]"
"[0.039, -0.43, 0.048, 0.609]","[5.1323313927615, 19.03503753563046]"
"[0.03, -0.626, 0.06, 0.916]","[19.227316772636893, 5.984580969811349]"
"[0.018, -0.432, 0.078, 0.643]","[20.031543575760523, 17.916741767941435]"
"[0.009, -0.628, 0.091, 0.959]","[10.7534918672705, 24.2150001626518]"
"[-0.004, -0.434, 0.11, 0.696]","[15.33102647950999, 9.984032362655563]"
"[-0.012, -0.631, 0.124, 1.022]","[10.713587033102804, 13.300064681053737]"
"[-0.025, -0.827, 0.145, 1.351]","[17.92976646655102, 11.141526001115976]"
"[-0.041, -1.024, 0.172, 1.685]","[23.354871948419515, 13.396305426962464]"
"[-0.062, -0.831, 0.205, 1.45]","[23.919454630053767, 19.221478733190473]"
"[0.035, 0.009, -0.029, 0.014]","[21.66487757927952, 17.364587651468725]"
"[0.036, 0.204, -0.029, -0.288]","[24.513843661512492, 17.213593923545048]"
"[0.04, 0.4, -0.035, -0.589]","[19.398303195539587, 9.087348899996986]"
"[0.048, 0.595, -0.046, -0.893]","[8.669000621108822, 23.247654811607035]"
"[0.06, 0.791, -0.064, -1.2]","[7.107241762508705, 13.10301776436675]"
"[0.075, 0.597, -0.088, -0.928]","[19.837674226583445, 11.393221620525164]"
"[0.087, 0.403, -0.107, -0.664]","[7.1204943188811765, 11.382297831095833]"
"[0.095, 0.209, -0.12, -0.407]","[13.762031405945185, 16.98641203060837]"
"[0.1, 0.016, -0.128, -0.154]","[6.617740627320913, 13.145525018711933]"
"[0.1, -0.177, -0.131, 0.095]","[22.82397856460348, 12.381677672782605]"
"[0.096, 0.02, -0.129, -0.236]","[6.34468759830229, 17.129201300445224]"
"[0.097, 0.217, -0.134, -0.566]","[22.25702076519807, 24.555707957381024]"
"[0.101, 0.023, -0.145, -0.319]","[7.101794392756798, 21.918992539473788]"
"[0.102, -0.169, -0.152, -0.075]","[21.044063272620168, 13.999212642029049]"
"[0.098, 0.028, -0.153, -0.412]","[24.9930741583304, 19.365341668988993]"
"[0.099, 0.225, -0.162, -0.748]","[20.950354072072546, 24.47819247602117]"
"[0.103, 0.422, -0.176, -1.087]","[23.43661508589203, 17.950318585121703]"
"[0.112, 0.229, -0.198, -0.855]","[21.059213771457483, 23.56477778184551]"
"[-0.029, 0.035, -0.046, -0.041]","[13.835719159239439, 24.93119574723925]"
"[-0.028, -0.159, -0.047, 0.237]","[16.222031727574716, 5.1449114265278695]"
"[-0.031, -0.354, -0.042, 0.514]","[20.26481906427195, 19.26676427456428]"
"[-0.039, -0.158, -0.032, 0.209]","[23.26553186056651, 21.815610642244046]"
"[-0.042, -0.353, -0.028, 0.491]","[23.215969595596434, 12.655107393925654]"
"[-0.049, -0.157, -0.018, 0.19]","[6.536755771135486, 9.001297545026038]"
"[-0.052, 0.038, -0.014, -0.109]","[23.62129198978244, 24.619412116202497]"
"[-0.051, -0.157, -0.016, 0.18]","[21.349026801291437, 23.308117196793376]"
"[-0.054, -0.351, -0.013, 0.467]","[16.99942210171866, 6.735935129302495]"
"[-0.061, -0.546, -0.004, 0.756]","[16.84042317893489, 16.205801189672272]"
"[-0.072, -0.741, 0.012, 1.047]","[5.431244474480481, 21.611094565253342]"
"[-0.087, -0.937, 0.033, 1.343]","[21.055086272380095, 9.620820578748603]"
"[-0.106, -1.132, 0.059, 1.646]","[7.558605940954132, 22.41397535183069]"
"[-0.128, -1.328, 0.092, 1.957]","[6.520263295688796, 17.527813420408247]"
"[-0.155, -1.134, 0.131, 1.694]","[18.921553760717092, 15.325700078335768]"
"[-0.178, -0.941, 0.165, 1.445]","[5.705087996418632, 20.623575290762886]"
"[-0.196, -0.748, 0.194, 1.208]","[11.258585582580036, 13.943435637194742]"
"[-0.039, 0.005, 0.049, 0.036]","[16.13916649108664, 11.492448659036299]"
"[-0.038, -0.191, 0.049, 0.344]","[14.341707788009067, 20.86619148104257]"
"[-0.042, -0.387, 0.056, 0.652]","[12.831336008369476, 16.60737161254828]"
"[-0.05, -0.192, 0.069, 0.377]","[14.44398891850334, 6.566688835211544]"
"[-0.054, -0.388, 0.077, 0.691]","[5.434948597421144, 6.852295936822152]"
"[-0.062, -0.194, 0.091, 0.424]","[12.162524563419947, 20.200877595231894]"
"[-0.066, -0.001, 0.099, 0.161]","[6.913237948988423, 17.42833400912501]"
"[-0.066, 0.193, 0.102, -0.099]","[16.567959616589516, 18.651396573424815]"
"[-0.062, -0.003, 0.1, 0.224]","[5.931787649030687, 20.86715647715439]"
"[-0.062, 0.19, 0.105, -0.035]","[24.97206045911839, 14.402889136591988]"
"[-0.058, 0.384, 0.104, -0.293]","[7.676270011675292, 5.1150888114821385]"
"[-0.05, 0.187, 0.098, 0.031]","[9.625013572626928, 19.986322404128348]"
"[-0.047, -0.009, 0.099, 0.353]","[7.506897073285581, 18.065110773611764]"
"[-0.047, 0.184, 0.106, 0.093]","[9.558379314093274, 10.980912219883498]"
"[-0.043, 0.378, 0.108, -0.164]","[17.555474936801183, 14.214368239187383]"
"[-0.035, 0.181, 0.105, 0.16]","[15.41679887871399, 15.26761577552119]"
"[-0.032, 0.375, 0.108, -0.098]","[20.287143464211034, 20.797538069286894]"
"[-0.024, 0.568, 0.106, -0.354]","[16.6097155448402, 5.70693838184763]"
"[-0.013, 0.372, 0.099, -0.03]","[11.955348064539908, 21.508131078186782]"
